Institution,Program,Credential_Type,Min_Avg_Final,Competitive_Final,English_Req,English_Min,Math_Req,Math_Min,Social_Req,Social_Min,Science_Req,Science_Min,Elective_Qty,Elective_Pool,Status,Eng_Req,Eng_Min,Eng_30_2_Allowed,Bio_30_Req,Chem_30_Req,Phys_30_Req,Sci_30_Req,Elective_Pool_Count,Pool_Allows_Group_A,Pool_Allows_Group_B,Pool_Allows_Group_C,Pool_Allows_Group_D
MacEwan,Academic Upgrading,Other,65,Minimum Only,30-1,65,30-1,50,30-1,50.0,"Bio 30, Chem 30, Sci 30",50,0,,Active,,,,,,,,,,,,
MacEwan,Accounting (Major),Degree,65,Mid-70s,30-1,65,30-1 or 30-2,50,,50.0,,50,Three,"Groups A, B, C, or D",Active,,,,,,,,,,,,
MacEwan,Accounting Minor,Minor,Refer to Degree,Refer to Degree,See Degree,See Degree,See Degree,See Degree,See Degree,50.0,See Degree,50,See Degree,See Degree,Active,,,,,,,,,,,,
MacEwan,Accounting Minor,Minor,Refer to Degree,Refer to Degree,See Degree,See Degree,See Degree,See Degree,See Degree,50.0,See Degree,50,See Degree,See Degree,Active,,,,,,,,,,,,
MacEwan,Accounting and Strategic Measurement,Other,65,Mid-70s,30-1 or 30-2,65,30-1 or 30-2,50,,50.0,,50,Three,"Groups A, B, C, or D",Active,,,,,,,,,,,,
MacEwan,Acupuncture,Other,60,Minimum Only,30-1 or 30-2,65,,50,,50.0,"Bio 30, Chem 30, Sci 30",50,Two,"Groups A, B, C, or D",Active,,,,,,,,,,,,
MacEwan,Alberta Foundation Program (AFP),Other,65,Minimum Only,30-1,65,,50,,50.0,,50,0,,Active,,,,,,,,,,,,
MacEwan,Anthropology,Other,65,Minimum Only,30-1,65,30-1,50,,50.0,,50,Four,"Groups A, B, C, or D",Active,,,,,,,,,,,,
MacEwan,Anthropology Minor,Minor,Refer to Degree,Refer to Degree,See Degree,See Degree,See Degree,See Degree,See Degree,50.0,See Degree,50,See Degree,See Degree,Active,,,,,,,,,,,,
MacEwan,Applied Statistics (Major/Honours),Degree,65,Minimum Only,30-1,65,30-1 or 30-2,50,,50.0,"Bio 30, Chem 30",50,Check Notes,"Groups A, B, C, or D",Active,,,,,,,,,,,,
MacEwan,Art History Minor,Minor,Refer to Degree,Refer to Degree,See Degree,See Degree,See Degree,See Degree,See Degree,50.0,See Degree,50,See Degree,See Degree,Active,,,,,,,,,,,,
MacEwan,Art History Minor,Minor,Refer to Degree,Refer to Degree,See Degree,See Degree,See Degree,See Degree,See Degree,50.0,See Degree,50,See Degree,See Degree,Active,,,,,,,,,,,,
MacEwan,Arts and Cultural Management,Other,65,Mid-70s,30-1,65,,50,,50.0,,50,0,,Active,,,,,,,,,,,,
