Program,Credential_Type,Min_Avg_Final,Competitive_Final,Eng_Req,Eng_Min,Eng_30_2_Allowed,Math_Req,Math_Min,Social_Req,Social_Min,Bio_30_Req,Chem_30_Req,Phys_30_Req,Sci_30_Req,Science_Min,Elective_Pool_Count,Pool_Allows_Group_A,Pool_Allows_Group_B,Pool_Allows_Group_C,Pool_Allows_Group_D,Status
1. Application,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
2. Schedule,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
3. Register,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
4. Create Account,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
5 programs receive government funding for expansion,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
5. Confirmation,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
6. Get Set Up,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
AI and Data Governance for Innovation and Impact,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
AI-Driven Project Management,Diploma,65,Minimum Only,English 30-2,50,Yes,Math 30-2,50,,,No,No,No,No,50,,No,No,No,No,Active
AWS Academy Cloud,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
About,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Accomplishments,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Advanced Healthcare Leadership,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Advanced Machining Centre Programming - Milling,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Advanced Turning Centre Programming - Lathe,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
After Your Student Applies,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
Agentic AI Foundation,Certificate,60,Minimum Only,English 30-2,50,Yes,Math 20-2,50,,,No,No,No,No,50,,No,No,No,No,Active
