institution,page_title,program_name,credential,campus,source_url,admission_type,minimum_average,competitive_average,english_requirement,math_requirement,required_courses,other_requirements,notes_uncertain
MacEwan,Human Service Administration - Bachelor of Applied Human Service Administration | MacEwan University Academic Catalog,Human Service Administration,Bachelor of Applied Human Service Administration,Distance-delivered,https://calendar.macewan.ca/programs/applied-degree-programs/bahsa-human-service-admin/,,,,,,[],[],['Specific course requirements and averages are not listed in the provided text.']
MacEwan,Behavioural Interventions Certificate - Suspended | MacEwan University Academic Catalog,Behavioural Interventions Certificate,Certificate of Achievement,,https://calendar.macewan.ca/programs/certificates-achievement/behavioural-intervention/,,,,,,[],[],"['Program is suspended according to the page title.', 'No admission requirements listed in the provided text.']"
MacEwan,Certificate of Achievement Sustainability Studies | MacEwan University Academic Catalog,Sustainability Studies,Certificate of Achievement,,https://calendar.macewan.ca/programs/certificates-achievement/sustainability/,,,,,,[],[],['No specific admission requirements listed in the provided text.']
MacEwan,Accounting and Strategic Measurement | MacEwan University Academic Catalog,Accounting and Strategic Measurement,Diploma,,https://calendar.macewan.ca/programs/certificates-diplomas/accounting-strategic-measurement/,,,,,,[],[],['No admission requirements listed in the provided text.']
MacEwan,Acupuncture | MacEwan University Academic Catalog,Acupuncture,,,https://calendar.macewan.ca/programs/certificates-diplomas/acupuncture/,,,,,,[],[],['No admission requirements listed in the provided text.']
MacEwan,Asia Pacific Management | MacEwan University Academic Catalog,Asia Pacific Management,Diploma,,https://calendar.macewan.ca/programs/certificates-diplomas/asia-pacific-management/,,,,,,[],[],['No admission requirements listed in the provided text.']
MacEwan,Aviation Management - Business Management Diploma | MacEwan University Academic Catalog,Aviation Management (Major),Business Management Diploma,,https://calendar.macewan.ca/programs/certificates-diplomas/aviation-management/,,,,,,[],[],['No admission requirements listed in the provided text.']
MacEwan,Bridge to Canadian Nursing | MacEwan University Academic Catalog,Bridge to Canadian Nursing,Certificate,,https://calendar.macewan.ca/programs/certificates-diplomas/bridge-canadian-nursing/,,,,,,[],[],['No specific admission requirements listed in the provided text.']
MacEwan,Business Management Certificate | MacEwan University Academic Catalog,Business Management,Certificate,,https://calendar.macewan.ca/programs/certificates-diplomas/business-management-certificate/,,,,,,[],[],"[""The provided text lists 'Program Requirements' (graduation requirements), not admission requirements.""]"
MacEwan,Business Management Diploma | MacEwan University Academic Catalog,Business Management,Diploma,,https://calendar.macewan.ca/programs/certificates-diplomas/business-management-diploma/,,,,,,[],[],['No specific admission requirements listed in the provided text.']
