institution,program_name,credential,admission_type,minimum_average,competitive_average,english_requirement,math_requirement,required_courses,other_requirements,source_url
MacEwan,Human Service Administration,Bachelor of Applied Human Service Administration,,,,,,[],[],https://calendar.macewan.ca/programs/applied-degree-programs/bahsa-human-service-admin/
MacEwan,Behavioural Interventions Certificate,Certificate of Achievement,,,,,,[],[],https://calendar.macewan.ca/programs/certificates-achievement/behavioural-intervention/
MacEwan,Sustainability Studies,Certificate of Achievement,,,,,,[],[],https://calendar.macewan.ca/programs/certificates-achievement/sustainability/
MacEwan,Accounting and Strategic Measurement,Diploma,,,,,,[],[],https://calendar.macewan.ca/programs/certificates-diplomas/accounting-strategic-measurement/
MacEwan,Acupuncture,,,,,,,[],[],https://calendar.macewan.ca/programs/certificates-diplomas/acupuncture/
MacEwan,Asia Pacific Management,Diploma,,,,,,[],[],https://calendar.macewan.ca/programs/certificates-diplomas/asia-pacific-management/
MacEwan,Aviation Management (Major),Business Management Diploma,,,,,,[],[],https://calendar.macewan.ca/programs/certificates-diplomas/aviation-management/
MacEwan,Bridge to Canadian Nursing,Certificate,,,,,,[],[],https://calendar.macewan.ca/programs/certificates-diplomas/bridge-canadian-nursing/
MacEwan,Business Management,Certificate,,,,,,[],[],https://calendar.macewan.ca/programs/certificates-diplomas/business-management-certificate/
MacEwan,Business Management,Diploma,,,,,,[],[],https://calendar.macewan.ca/programs/certificates-diplomas/business-management-diploma/
MacEwan,Community Justice and Corrections,Diploma,,,,,,[],[],https://calendar.macewan.ca/programs/certificates-diplomas/community-justice-and-corrections
MacEwan,Community Justice and Corrections,Diploma,,,,,,[],[],https://calendar.macewan.ca/programs/certificates-diplomas/community-justice-and-corrections/
MacEwan,Early Learning and Child Care,,,,,,,[],[],https://calendar.macewan.ca/programs/certificates-diplomas/early-learning-child-care/
MacEwan,Educational Assistant,Certificate,,,,,,[],[],https://calendar.macewan.ca/programs/certificates-diplomas/educational-assistant/
MacEwan,Emergency Communications and Response,Certificate,,,,,,[],[],https://calendar.macewan.ca/programs/certificates-diplomas/emergency-communications-response/
MacEwan,Hearing Aid Practitioner,Diploma,,,,,,[],[],https://calendar.macewan.ca/programs/certificates-diplomas/hearing-aid-practitioner/
MacEwan,Human Resources Management,Certificate and Diploma,,,,,,[],[],https://calendar.macewan.ca/programs/certificates-diplomas/human-resources-management/
MacEwan,Insurance and Risk Management,Business Management Diploma,,,,,,[],[],https://calendar.macewan.ca/programs/certificates-diplomas/insurance-risk-management/
MacEwan,Investigative Studies,Diploma,,,,,,[],[],https://calendar.macewan.ca/programs/certificates-diplomas/investigative-studies/
MacEwan,Library and Information Technology,Diploma,,,,,,[],[],https://calendar.macewan.ca/programs/certificates-diplomas/library-information-technology/
MacEwan,Massage Therapy,,,,,,,[],[],https://calendar.macewan.ca/programs/certificates-diplomas/massage-therapy/
MacEwan,Office Assistant - Administrative major,Certificate,,,,,,[],[],https://calendar.macewan.ca/programs/certificates-diplomas/office-assistant-administrative/
MacEwan,Office Assistant - Legal major,Certificate,,,,,,[],[],https://calendar.macewan.ca/programs/certificates-diplomas/office-assistant-legal/
MacEwan,Office Assistant - Medical major,Certificate,,,,,,[],[],https://calendar.macewan.ca/programs/certificates-diplomas/office-assistant-medical/
MacEwan,Paralegal Studies,Diploma,,,,,,[],[],https://calendar.macewan.ca/programs/certificates-diplomas/paralegal-studies/
MacEwan,Physical Therapist Assistant / Occupational Therapist Assistant,Diploma,,,,,,[],[],https://calendar.macewan.ca/programs/certificates-diplomas/physical-occupational-therapist-assistant/
MacEwan,Police Studies,Diploma,,,,,,[],[],https://calendar.macewan.ca/programs/certificates-diplomas/police-studies/
MacEwan,Public Relations,Diploma,,,,,,[],[],https://calendar.macewan.ca/programs/certificates-diplomas/public-relations/
MacEwan,Social Work,Diploma,,,,,,[],[],https://calendar.macewan.ca/programs/certificates-diplomas/social-work/
MacEwan,Speech Language Pathologist Assistant,Diploma,,,,,,[],[],https://calendar.macewan.ca/programs/certificates-diplomas/speech-language-pathologist-assistant/
MacEwan,Travel and Tourism,,,,,,,[],[],https://calendar.macewan.ca/programs/certificates-diplomas/travel/
MacEwan,Anthropology (Major/Minor/Honours),Bachelor of Arts,,,,,,[],[],https://calendar.macewan.ca/programs/degree-programs/ba-anthropology/
MacEwan,Economics (Major/Minor/Honours),Bachelor of Arts,,,,,,[],[],https://calendar.macewan.ca/programs/degree-programs/ba-economics/
MacEwan,English (Major/Minor/Honours),Bachelor of Arts,,,,,,[],[],https://calendar.macewan.ca/programs/degree-programs/ba-english/
MacEwan,Minors - Bachelor of Arts,Bachelor,,,,,,[],[],https://calendar.macewan.ca/programs/degree-programs/ba-minors/
MacEwan,Philosophy (Major/Minor),Bachelor of Arts,,,,,,[],[],https://calendar.macewan.ca/programs/degree-programs/ba-philosophy/
MacEwan,Political Science (Major/Minor/Honours),Bachelor of Arts,,,,,,[],[],https://calendar.macewan.ca/programs/degree-programs/ba-political-science/
MacEwan,Psychology (Major/Minor/Honours),Bachelor of Arts,,,,,,[],[],https://calendar.macewan.ca/programs/degree-programs/ba-psychology/
MacEwan,Sociology (Major/Minor/Honours),Bachelor of Arts,,,,,,[],[],https://calendar.macewan.ca/programs/degree-programs/ba-sociology/
MacEwan,Bachelor of Arts Undeclared,Bachelor of Arts,,,,,,[],[],https://calendar.macewan.ca/programs/degree-programs/ba-undeclared/
MacEwan,Accounting (Major),Bachelor of Commerce,,,,,,[],[],https://calendar.macewan.ca/programs/degree-programs/bcom-accounting/
MacEwan,Human Resources Management (Major),Bachelor of Commerce,,,,,,[],[],https://calendar.macewan.ca/programs/degree-programs/bcom-human-resources-management/
MacEwan,International Business (Major),Bachelor of Commerce,,,,,,[],[],https://calendar.macewan.ca/programs/degree-programs/bcom-international-business/
MacEwan,Legal Studies in Business (Major),Bachelor of Commerce,,,,,,[],[],https://calendar.macewan.ca/programs/degree-programs/bcom-legal-studies-business/
MacEwan,Management (Major),Bachelor of Commerce,,,,,,[],[],https://calendar.macewan.ca/programs/degree-programs/bcom-management/
MacEwan,Marketing (Major),Bachelor of Commerce,,,,,,[],[],https://calendar.macewan.ca/programs/degree-programs/bcom-marketing/
MacEwan,Minors - Bachelor of Commerce,Bachelor,,,,,,[],[],https://calendar.macewan.ca/programs/degree-programs/bcom-minors/
MacEwan,Supply Chain Management (Major),Bachelor of Commerce,,,,,,[],[],https://calendar.macewan.ca/programs/degree-programs/bcom-supply-chain-management/
MacEwan,Bachelor of Commerce Undeclared,Bachelor of Commerce,,,,,,[],[],https://calendar.macewan.ca/programs/degree-programs/bcom-undeclared/
MacEwan,Journalism (Major),Bachelor of Communication Studies,,,,,,[],[],https://calendar.macewan.ca/programs/degree-programs/bcs-journalism/
