override_key,institution,program,credential_type,status,source_page_url,include_or_exclude,signal_type,requirement_type_override,min_avg_override,elective_qty_override,avg_total_override,parent_admissions_url,requirements_selector,admissions_links_selector,proof_text,notes,needs_parent_source,manual_review_flag
norquest-accounting-technician-01,NorQuest,Accounting Technician,,,https://www.norquest.ca/programs-and-courses/programs/accounting-technician/,include,avg_total,alberta_high_school_courses,,,2,,"<a class=""menuLink 4"" href=""/programs-and-courses/programs/accounting-technician/program-requirements/"">Program requirements</a>","<a class=""menuLink 4"" href=""/programs-and-courses/programs/accounting-technician/program-requirements/"">Program requirements</a>","<details open="""" class=""requirements""><summary>Academic requirements</summary><div> <div class=""col""><strong>Language Arts </strong>– this requirement can be met with any of the following, or an equivalent course: <ul> <li>50% in English Language Arts 30-1</li> <li>50% in English Language Arts 30-2</li> <li>50% in <a href=""/programs-and-courses/courses/ESLG1860-english-for-academic-purposes-reading-and-writing/"" title=""English for Academic Purposes - Reading and Writing I"">ESLG 1860</a></li> <li>50% in <a href=""/programs-and-courses/courses/ESLG1898-english-for-academic-purposes-reading-and-writing-eap-ii/"" title=""English for Academic Purposes - Reading and Writing II"">ESLG 1898</a></li> </ul> <strong>Mathematics</strong> – this requirement can be met with any of the following, or an equivalent course: <ul> <li>65% in Mathematics 20-1</li> <li>65% in Mathematics 20-2</li> <li>50% in Mathematics 30-1</li> <li>50% in Mathematics 30-2</li> </ul> <p>OR</p> <p><strong>Academic Assessment</strong> - Applicants who have submitted an application may be able to meet their&nbsp;academic requirements with a free&nbsp;assessment.&nbsp;Click&nbsp;<a href=""/applying-to-norquest/testing-and-assessment-services/academic-and-placement-assessments.aspx"" target=""_self"">here </a>for more details or email<a href=""mailto:student.advisor@norquest.ca""> student.advisor@norquest.ca</a> to meet with an advisor.</p> <p><strong>Note:</strong> Academic admission requirements are different from English language proficiency requirements. NorQuest College English for Academic Purposes courses may be used to meet both requirements. See below for details.</p></div> <div class=""col""><p>If you're missing some academic requirements, you may be able to apply with recognized equivalencies. See how NorQuest’s <a href=""https://www.norquest.ca/applying-to-norquest/how-to-apply/equivalencies"" target=""_blank"" title=""https://www.norquest.ca/applying-to-norquest/how-to-apply/equivalencies"">equivalency options</a> can help you qualify.</p> </div></div></details>",rules appear https://www.norquest.ca/programs-and-courses/programs/accounting-technician/program-requirements/. | NorQuest high-school-template sample (missing credential/status in canonical),no,no
norquest-practical-nurse-02,NorQuest,Practical Nurse,,,https://www.norquest.ca/programs-and-courses/programs/practical-nurse/,include,avg_total,alberta_high_school_courses,,,3,,"<a class=""menuLink 4"" href=""/programs-and-courses/programs/practical-nurse/program-requirements/"">Program requirements</a>","<a class=""menuLink 4"" href=""/programs-and-courses/programs/practical-nurse/program-requirements/"">Program requirements</a>","<details open="""" class=""requirements""><summary>Academic requirements</summary><div> <div class=""col""><p><strong>Language Arts</strong> – this requirement can be met with any of the following, or an equivalent course:</p> <ul> <li>60% in English Language Arts 30-1</li> <li>70% in English Language Arts 30-2</li> <li>60% in <a href=""/programs-and-courses/courses/ESLG1860-english-for-academic-purposes-reading-and-writing/"" title=""English for Academic Purposes - Reading and Writing I"">ESLG 1860</a></li> <li>70% in <a href=""/programs-and-courses/courses/ESLG1898-english-for-academic-purposes-reading-and-writing-eap-ii/"" title=""English for Academic Purposes - Reading and Writing II"">ESLG 1898</a></li> </ul> <p><strong>Mathematics</strong> – this requirement can be met with any of the following, or an equivalent course:</p> <ul> <li>60% in Mathematics 20-1</li> <li>70% in Mathematics 20-2</li> <li>50% in Mathematics 30-1</li> <li>60% in Mathematics 30-2</li> <li>60% in <a href=""/programs-and-courses/courses/MATH1524-prep-for-practical-nurse-math-foundations/"" title=""Prep for Practical Nurse Math Foundations"">MATH 1524</a></li> </ul> <strong>Biology</strong> – this requirement can be met with the following, or an equivalent course: <ul> <li>60% in Biology 30</li> </ul> <p>OR</p> <p><strong>Academic Assessment </strong>– Applicants who have submitted an application may be able to meet their&nbsp;academic requirements with a free&nbsp;assessment.&nbsp;Click&nbsp;<a href=""/applying-to-norquest/testing-and-assessment-services/academic-and-placement-assessments.aspx"" target=""_self"">here </a>for more details or email<a href=""mailto:student.advisor@norquest.ca""> student.advisor@norquest.ca</a> to meet with an advisor.</p> <p><strong>Note:</strong> Academic admission requirements are different from English language proficiency requirements. NorQuest College English for Academic Purposes courses may be used to meet both requirements. See below for details.</p> <p><strong>Some Health Care Aide courses may count towards a Practical Nurse diploma.&nbsp;</strong></p> <p>Graduates of an Alberta provincial Health Care Aide program (or equivalent) can request prior learning assessment (PLAR) and recognition for the <a href=""/programs-and-courses/courses/heed1000-health-education-individual-health-and-wellness/"" title=""Health Education: Individual Health and Wellness"">HEED 1000</a> and <a href=""/programs-and-courses/courses/ncom1000-communications-for-nursing/"" title=""Communications for Nursing"">NCOM 1000</a> courses once they have been accepted into the Practical Nurse program.&nbsp;</p> <p>Visit <a href=""/applying-to-norquest/transcripts-and-transfers/prior-learning-assessment-and-recognition/"">prior learning assessment and recognition</a> for more information.</p></div> <div class=""col""><p>If you're missing some academic requirements, you may be able to apply with recognized equivalencies. See how NorQuest’s <a href=""https://www.norquest.ca/applying-to-norquest/how-to-apply/equivalencies"" target=""_blank"" title=""https://www.norquest.ca/applying-to-norquest/how-to-apply/equivalencies"">equivalency options</a> can help you qualify.</p> </div></div></details>",rules appear on https://www.norquest.ca/programs-and-courses/programs/practical-nurse/program-requirements/ | NorQuest second high-school-template sample,no,no
norquest-health-care-aide-03,NorQuest,Health Care Aide,,,https://www.norquest.ca/programs-and-courses/programs/health-care-aide/,include,placement_assessment,placement_assessment,,,1,,"<a class=""menuLink 4"" href=""/programs-and-courses/programs/health-care-aide/program-requirements/"">Program requirements</a>","<a class=""menuLink 4"" href=""/programs-and-courses/programs/health-care-aide/program-requirements/"">Program requirements</a>","<details open="""" class=""requirements""><summary>Academic requirements</summary><div> <div class=""col""><ul> <li>English Language Arts – this requirement can be met with any of the following, or an equivalent course: <ul> <li>60% in English Language Arts 20-2</li> <li>55% in English Language Arts 30-2</li> </ul> </li> </ul> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; OR <ul> <li><a href=""https://www.norquest.ca/applying-to-norquest/testing-and-assessment-services/academic-and-placement-assessments/"">Accuplacer&nbsp;reading and writing assessment</a>&nbsp;- Applicants who have submitted an application may be able to meet their&nbsp;academic requirements with a free&nbsp;assessment.&nbsp;Click&nbsp;<a href=""/applying-to-norquest/testing-and-assessment-services/academic-and-placement-assessments.aspx"" target=""_self"">here</a>&nbsp;for more details or email&nbsp;<a href=""mailto:student.advisor@norquest.ca"">student.advisor@norquest.ca</a> to meet with an advisor.</li> </ul> <p><strong>Note:</strong> Academic admission requirements are different from English language proficiency requirements. NorQuest College English for Academic Purposes courses may be used to meet academic&nbsp;requirements. See below for details.</p></div> <div class=""col""><p>If you're missing some academic requirements, you may be able to apply with recognized equivalencies. See how NorQuest’s <a href=""https://www.norquest.ca/applying-to-norquest/how-to-apply/equivalencies"" target=""_blank"" title=""https://www.norquest.ca/applying-to-norquest/how-to-apply/equivalencies"">equivalency options</a> can help you qualify.</p> </div></div></details>",rules appear on https://www.norquest.ca/programs-and-courses/programs/health-care-aide/program-requirements/ | NorQuest placement/assessment-template sample,no,no
norquest-teaching-english-as-a-second-language-04,NorQuest,Teaching English as a Second Language,,,https://www.norquest.ca/programs-and-courses/programs/teaching-english-as-a-second-language/,include,manual_review,regular_admission; notes: English language proficiency only,,,,,,,,ELP-only evidence in current extract; keep explicit manual review instead of Unknown,no,yes
norquest-practical-nurse-ien-05,NorQuest,Practical Nurse Diploma for Internationally Educated Nurses,,,https://www.norquest.ca/programs-and-courses/programs/practical-nurse-diploma-for-internationally-educated-nurses/,include,pathway,post_secondary_pathway; notes: internationally educated nurse pathway,,,,,,,,Program is an internationally educated nurse pathway; not direct Alberta high-school admission,no,yes
norquest-autism-studies-06,NorQuest,Autism Studies,,,https://www.norquest.ca/programs-and-courses/programs/autism-studies/,include,pathway,post_secondary_pathway; notes: post-diploma pathway,,,,,,,,Post-diploma pathway; current extract only supports pathway-level/manual-review treatment,no,yes
norquest-digital-marketing-07,NorQuest,Digital Marketing,,,https://www.norquest.ca/programs-and-courses/programs/digital-marketing/,include,pathway,post_secondary_pathway; notes: post-diploma pathway,,,,,,,,Post-diploma pathway; current extract only supports pathway-level/manual-review treatment,no,yes
nait-ai-and-data-governance-for-innovation-and-impact-04,NAIT,AI and Data Governance for Innovation and Impact,Certificate,Active,https://www.nait.ca/nait/continuing-education/programs/ai-and-data-governance-certificate,exclude,avg_total,,60,,,,,,,continuing ed template | NAIT continuing-ed program template,no,no
nait-advanced-machining-centre-programming-milling-05,NAIT,Advanced Machining Centre Programming - Milling,Certificate,Active,https://www.nait.ca/nait/continuing-education/courses/mach206-advanced-machining-centre-programming,exclude,avg_total,,60,,,,,,,continuing ed template | NAIT continuing-ed course template,no,no
nait-animation-area-of-emphasis-06,NAIT,Animation (Area of Emphasis),Certificate,Active,https://www.nait.ca/nait/schools-programs/school-of-applied-sciences-and-technology/walkthroughs/dmit-areas-of-emphasis/animation,exclude,exclude_pattern,,60,,,,,,,this is not a program | NAIT likely non-program/area-of-emphasis page pattern,no,no
