program_name,program_href,program_url_seed,requirements_url,seed_source
Accounting,/academics/academic-departments/accounting-finance/academics/accounting-honours/,https://www.macewan.ca/academics/academic-departments/accounting-finance/academics/accounting-honours/,,macewan-link-list-element
Accounting,/academics/academic-departments/accounting-finance/academics/accounting-major/,https://www.macewan.ca/academics/academic-departments/accounting-finance/academics/accounting-major/,,macewan-link-list-element
Accounting and Strategic Measurement,/academics/programs/accounting-and-strategic-measurement/,https://www.macewan.ca/academics/programs/accounting-and-strategic-measurement/,https://www.macewan.ca/academics/programs/accounting-and-strategic-measurement/admissions/requirements/index.html,macewan-link-list-element
Accounting Technology,/academics/programs/accounting-and-strategic-measurement/academics/certificate-exit/,https://www.macewan.ca/academics/programs/accounting-and-strategic-measurement/academics/certificate-exit/,https://www.macewan.ca/academics/programs/accounting-and-strategic-measurement/admissions/requirements/index.html,macewan-link-list-element
Acupuncture,/academics/programs/acupuncture/,https://www.macewan.ca/academics/programs/acupuncture/,https://www.macewan.ca/academics/programs/acupuncture/admissions/requirements/index.html,macewan-link-list-element
Alberta Foundation Program,/academics/programs/alberta-foundation-program/,https://www.macewan.ca/academics/programs/alberta-foundation-program/,,macewan-link-list-element
Anthropology,/academics/academic-departments/anthropology-economics-political-science/academics/anthropology-honours/,https://www.macewan.ca/academics/academic-departments/anthropology-economics-political-science/academics/anthropology-honours/,,macewan-link-list-element
Anthropology,/academics/academic-departments/anthropology-economics-political-science/academics/anthropology-major/,https://www.macewan.ca/academics/academic-departments/anthropology-economics-political-science/academics/anthropology-major/,,macewan-link-list-element
Applied Statistics,/academics/academic-departments/mathematics-statistics/academics/applied-statistics-honours/,https://www.macewan.ca/academics/academic-departments/mathematics-statistics/academics/applied-statistics-honours/,,macewan-link-list-element
Applied Statistics,/academics/academic-departments/mathematics-statistics/academics/applied-statistics-major/,https://www.macewan.ca/academics/academic-departments/mathematics-statistics/academics/applied-statistics-major/,,macewan-link-list-element
Arts and Cultural Management,/academics/programs/bachelor-of-fine-arts/academics/diploma-exit/,https://www.macewan.ca/academics/programs/bachelor-of-fine-arts/academics/diploma-exit/,https://www.macewan.ca/academics/programs/bachelor-of-fine-arts/admissions/requirements/index.html,macewan-link-list-element
Aviation Management,/academics/programs/business-management/academics/aviation-management/,https://www.macewan.ca/academics/programs/business-management/academics/aviation-management/,https://www.macewan.ca/academics/programs/business-management/admissions/requirements/index.html,macewan-link-list-element
Bachelor of Applied Human Service Administration,/academics/programs/bachelor-of-applied-human-service-administration/,https://www.macewan.ca/academics/programs/bachelor-of-applied-human-service-administration/,https://www.macewan.ca/academics/programs/bachelor-of-applied-human-service-administration/admissions/requirements/index.html,macewan-link-list-element
Bachelor of Arts,/academics/programs/bachelor-of-arts/,https://www.macewan.ca/academics/programs/bachelor-of-arts/,https://www.macewan.ca/academics/programs/bachelor-of-arts/admissions/requirements/index.html,macewan-link-list-element
Bachelor of Child and Youth Care,/academics/programs/bachelor-of-child-and-youth-care/,https://www.macewan.ca/academics/programs/bachelor-of-child-and-youth-care/,https://www.macewan.ca/academics/programs/bachelor-of-child-and-youth-care/admissions/requirements/index.html,macewan-link-list-element
Bachelor of Commerce,/academics/programs/bachelor-of-commerce/,https://www.macewan.ca/academics/programs/bachelor-of-commerce/,https://www.macewan.ca/academics/programs/bachelor-of-commerce/admissions/requirements/index.html,macewan-link-list-element
Bachelor of Communication Studies,/academics/programs/bachelor-of-communication-studies/,https://www.macewan.ca/academics/programs/bachelor-of-communication-studies/,https://www.macewan.ca/academics/programs/bachelor-of-communication-studies/admissions/requirements/index.html,macewan-link-list-element
Bachelor of Design,/academics/programs/bachelor-of-design/,https://www.macewan.ca/academics/programs/bachelor-of-design/,https://www.macewan.ca/academics/programs/bachelor-of-design/admissions/requirements/index.html,macewan-link-list-element
Bachelor of Early Childhood Curriculum Studies,/academics/programs/bachelor-of-early-childhood-curriculum-studies/,https://www.macewan.ca/academics/programs/bachelor-of-early-childhood-curriculum-studies/,https://www.macewan.ca/academics/programs/bachelor-of-early-childhood-curriculum-studies/admissions/requirements/index.html,macewan-link-list-element
Bachelor of Fine Arts,/academics/programs/bachelor-of-fine-arts/,https://www.macewan.ca/academics/programs/bachelor-of-fine-arts/,https://www.macewan.ca/academics/programs/bachelor-of-fine-arts/admissions/requirements/index.html,macewan-link-list-element
Bachelor of Music,/academics/programs/bachelor-of-music/,https://www.macewan.ca/academics/programs/bachelor-of-music/,https://www.macewan.ca/academics/programs/bachelor-of-music/admissions/requirements/index.html,macewan-link-list-element
Bachelor of Physical Education Transfer,/academics/programs/bachelor-of-physical-education-transfer/,https://www.macewan.ca/academics/programs/bachelor-of-physical-education-transfer/,https://www.macewan.ca/academics/programs/bachelor-of-physical-education-transfer/admissions/requirements/index.html,macewan-link-list-element
