program_name,program_href,program_url,seed_source
Academic Upgrading,/programs/academic-upgrading,https://www.nait.ca/programs/academic-upgrading,program-card-element
Advanced Care Paramedic,/programs/advanced-care-paramedic,https://www.nait.ca/programs/advanced-care-paramedic,program-card-element
Advanced Carpentry Technology,/programs/advanced-carpentry-technology,https://www.nait.ca/programs/advanced-carpentry-technology,program-card-element
Advanced Plumbing Technology,/programs/advanced-plumbing-technology,https://www.nait.ca/programs/advanced-plumbing-technology,program-card-element
Advanced Welding Technology,/programs/advanced-welding-technology,https://www.nait.ca/programs/advanced-welding-technology,program-card-element
Alternative Energy Technology,/programs/alternative-energy-technology,https://www.nait.ca/programs/alternative-energy-technology,program-card-element
Architectural Technology,/programs/architectural-technology,https://www.nait.ca/programs/architectural-technology,program-card-element
Auto Body Technician,/apprenticeship/autobody,https://www.nait.ca/apprenticeship/autobody,program-card-element
Automotive Service Technician,/apprenticeship/automotive-service-technician,https://www.nait.ca/apprenticeship/automotive-service-technician,program-card-element
Automotive Service Technology,/programs/automotive-service-technology,https://www.nait.ca/programs/automotive-service-technology,program-card-element
Bachelor of Applied Information Systems Technology - Information Systems,/programs/baist-information-systems,https://www.nait.ca/programs/baist-information-systems,program-card-element
Bachelor of Applied Information Systems Technology - Network Management,/programs/baist-network-management,https://www.nait.ca/programs/baist-network-management,program-card-element
Bachelor of Business Administration - Accounting and Analytics,/programs/bba-accounting-and-analytics,https://www.nait.ca/programs/bba-accounting-and-analytics,program-card-element
Bachelor of Business Administration - Entrepreneurship Innovation,/programs/bba-entrepreneurship,https://www.nait.ca/programs/bba-entrepreneurship,program-card-element
Bachelor of Business Administration - Finance,/programs/bba-finance,https://www.nait.ca/programs/bba-finance,program-card-element
Bachelor of Business Administration - General,/programs/bba-general,https://www.nait.ca/programs/bba-general,program-card-element
Bachelor of Business Administration - Human Resources Management,/programs/bba-human-resources-management,https://www.nait.ca/programs/bba-human-resources-management,program-card-element
Bachelor of Business Administration - Management,/programs/bba-management,https://www.nait.ca/programs/bba-management,program-card-element
Bachelor of Business Administration - Marketing,/programs/bba-marketing,https://www.nait.ca/programs/bba-marketing,program-card-element
Bachelor of Business Administration - Supply Chain Management,/programs/bba-supply-chain-management,https://www.nait.ca/programs/bba-supply-chain-management,program-card-element
Bachelor of Technology in Management - General Management,/programs/btech,https://www.nait.ca/programs/btech,program-card-element
Bachelor of Technology in Management - Operations Management,/programs/btech-operationsmanagement,https://www.nait.ca/programs/btech-operationsmanagement,program-card-element
Bachelor of Technology in Management - Project Management,/programs/btech-projectmanagement,https://www.nait.ca/programs/btech-projectmanagement,program-card-element
Bachelor of Technology in Management - Sustainability Management,/programs/btech-sustainabilitymanagement,https://www.nait.ca/programs/btech-sustainabilitymanagement,program-card-element
Baking and Pastry Arts,/programs/baking-and-pastry-arts,https://www.nait.ca/programs/baking-and-pastry-arts,program-card-element
Biomedical Engineering Technology,/programs/biomedical-engineering-technology,https://www.nait.ca/programs/biomedical-engineering-technology,program-card-element
Boilermaker,/apprenticeship/boilermaker,https://www.nait.ca/apprenticeship/boilermaker,program-card-element
