program_name,program_href,program_url,credential,seed_source
Academic Upgrading,/programs-and-courses/programs/academic-upgrading/,https://www.norquest.ca/programs-and-courses/programs/academic-upgrading/,Course credits,norquest-programsearch-api
Accounting Technician,/programs-and-courses/programs/accounting-technician/,https://www.norquest.ca/programs-and-courses/programs/accounting-technician/,Certificate,norquest-programsearch-api
Addictions Recovery Practitioner,/programs-and-courses/programs/addictions-recovery-practitioner/,https://www.norquest.ca/programs-and-courses/programs/addictions-recovery-practitioner/,Post-diploma certificate,norquest-programsearch-api
Administrative Professional,/programs-and-courses/programs/administrative-professional/,https://www.norquest.ca/programs-and-courses/programs/administrative-professional/,Certificate,norquest-programsearch-api
Advanced Education in Orthopedics for LPN,/programs-and-courses/programs/advanced-education-in-orthopedics-for-lpn/,https://www.norquest.ca/programs-and-courses/programs/advanced-education-in-orthopedics-for-lpn/,Post-diploma certificate,norquest-programsearch-api
Arts and Sciences Diploma,/programs-and-courses/programs/arts-and-sciences/,https://www.norquest.ca/programs-and-courses/programs/arts-and-sciences/,Diploma,norquest-programsearch-api
Autism in the workplace,/programs-and-courses/programs/autism-in-the-workplace/,https://www.norquest.ca/programs-and-courses/programs/autism-in-the-workplace/,Digital badge,norquest-programsearch-api
Autism Studies,/programs-and-courses/programs/autism-studies/,https://www.norquest.ca/programs-and-courses/programs/autism-studies/,Post-diploma certificate,norquest-programsearch-api
Behaviour and Regulation Studies,/programs-and-courses/programs/behaviour-and-regulation-studies/,https://www.norquest.ca/programs-and-courses/programs/behaviour-and-regulation-studies/,Post-diploma certificate,norquest-programsearch-api
"Biological, Life, and Health Sciences Specialization",/programs-and-courses/programs/biological-life-and-health-sciences-specialization/,https://www.norquest.ca/programs-and-courses/programs/biological-life-and-health-sciences-specialization/,Diploma,norquest-programsearch-api
Building Service Worker,/programs-and-courses/programs/building-service-worker/,https://www.norquest.ca/programs-and-courses/programs/building-service-worker/,Completion certificate,norquest-programsearch-api
Business Administration,/programs-and-courses/programs/business-administration/,https://www.norquest.ca/programs-and-courses/programs/business-administration/,Diploma,norquest-programsearch-api
CAEC Readiness,/programs-and-courses/programs/caec-readiness/,https://www.norquest.ca/programs-and-courses/programs/caec-readiness/,Microcredential,norquest-programsearch-api
Child and Youth Care,/programs-and-courses/programs/child-and-youth-care/,https://www.norquest.ca/programs-and-courses/programs/child-and-youth-care/,Diploma,norquest-programsearch-api
Clinical Practice Enhancement for LPNs,/programs-and-courses/programs/clinical-practice-enhancement-for-lpns/,https://www.norquest.ca/programs-and-courses/programs/clinical-practice-enhancement-for-lpns/,Completion certificate,norquest-programsearch-api
Community Support Worker,/programs-and-courses/programs/community-support-worker/,https://www.norquest.ca/programs-and-courses/programs/community-support-worker/,Certificate,norquest-programsearch-api
Content Creator,/programs-and-courses/programs/content-creator/,https://www.norquest.ca/programs-and-courses/programs/content-creator/,Certificate,norquest-programsearch-api
Demystifying Accessibility,/programs-and-courses/programs/demystifying-accessibility/,https://www.norquest.ca/programs-and-courses/programs/demystifying-accessibility/,Digital badge,norquest-programsearch-api
Dental Office Assistant,/programs-and-courses/programs/dental-office-assistant/,https://www.norquest.ca/programs-and-courses/programs/dental-office-assistant/,Certificate,norquest-programsearch-api
Digital Design,/programs-and-courses/programs/digital-design/,https://www.norquest.ca/programs-and-courses/programs/digital-design/,Diploma,norquest-programsearch-api
Digital Information Careers,/programs-and-courses/programs/digital-information-careers/,https://www.norquest.ca/programs-and-courses/programs/digital-information-careers/,Certificate,norquest-programsearch-api
Digital Marketing,/programs-and-courses/programs/digital-marketing/,https://www.norquest.ca/programs-and-courses/programs/digital-marketing/,Post-diploma certificate,norquest-programsearch-api
Disability Studies,/programs-and-courses/programs/disability-studies/,https://www.norquest.ca/programs-and-courses/programs/disability-studies/,Diploma,norquest-programsearch-api
EAL Community Educator,/programs-and-courses/programs/eal-community-educator/,https://www.norquest.ca/programs-and-courses/programs/eal-community-educator/,Microcredential,norquest-programsearch-api
EAL Intensive,/programs-and-courses/programs/eal-intensive/,https://www.norquest.ca/programs-and-courses/programs/eal-intensive/,Course credits,norquest-programsearch-api
Early Learning and Child Care – certificate,/programs-and-courses/programs/early-learning-and-child-care/,https://www.norquest.ca/programs-and-courses/programs/early-learning-and-child-care/,Certificate,norquest-programsearch-api
Early Learning and Child Care – diploma,/programs-and-courses/programs/early-learning-and-child-care-diploma/,https://www.norquest.ca/programs-and-courses/programs/early-learning-and-child-care-diploma/,Diploma,norquest-programsearch-api
Education and Employment Pathways,/programs-and-courses/programs/education-and-employment-pathways/,https://www.norquest.ca/programs-and-courses/programs/education-and-employment-pathways/,Completion certificate,norquest-programsearch-api
Educational Assistant,/programs-and-courses/programs/educational-assistant/,https://www.norquest.ca/programs-and-courses/programs/educational-assistant/,Certificate,norquest-programsearch-api
Energy Management,/programs-and-courses/programs/energy-management/,https://www.norquest.ca/programs-and-courses/programs/energy-management/,Diploma,norquest-programsearch-api
Engineering University Transfer Certificate,/programs-and-courses/programs/engineering-university-transfer-certificate/,https://www.norquest.ca/programs-and-courses/programs/engineering-university-transfer-certificate/,Certificate,norquest-programsearch-api
Environmental Technician,/programs-and-courses/programs/environmental-technician/,https://www.norquest.ca/programs-and-courses/programs/environmental-technician/,Diploma,norquest-programsearch-api
Flight Attendant,/programs-and-courses/programs/flight-attendant/,https://www.norquest.ca/programs-and-courses/programs/flight-attendant/,Completion certificate,norquest-programsearch-api
Foundational Business and Entrepreneurial Skills in Healthcare,/programs-and-courses/programs/foundational-business-and-entrepreneurial-skills-in-healthcare/,https://www.norquest.ca/programs-and-courses/programs/foundational-business-and-entrepreneurial-skills-in-healthcare/,Microcredential,norquest-programsearch-api
Foundations for Learning,/programs-and-courses/programs/foundations-for-learning/,https://www.norquest.ca/programs-and-courses/programs/foundations-for-learning/,Course credits,norquest-programsearch-api
Greenhouse Practices and Operational Fundamentals,/programs-and-courses/programs/greenhouse-practices/,https://www.norquest.ca/programs-and-courses/programs/greenhouse-practices/,Microcredential,norquest-programsearch-api
Health Care Aide,/programs-and-courses/programs/health-care-aide/,https://www.norquest.ca/programs-and-courses/programs/health-care-aide/,Certificate,norquest-programsearch-api
Health Care Aide Workplace,/programs-and-courses/programs/health-care-aide-workplace/,https://www.norquest.ca/programs-and-courses/programs/health-care-aide-workplace/,Certificate,norquest-programsearch-api
Health Care Leadership,/programs-and-courses/programs/health-care-leadership/,https://www.norquest.ca/programs-and-courses/programs/health-care-leadership/,Post-diploma certificate,norquest-programsearch-api
Hospital Unit Clerk,/programs-and-courses/programs/hospital-unit-clerk/,https://www.norquest.ca/programs-and-courses/programs/hospital-unit-clerk/,Certificate,norquest-programsearch-api
Hospitality Industry Fundamentals,/programs-and-courses/programs/hospitality-industry-fundamentals/,https://www.norquest.ca/programs-and-courses/programs/hospitality-industry-fundamentals/,Microcredential,norquest-programsearch-api
Indigenous Studies,/programs-and-courses/programs/indigenous-studies/,https://www.norquest.ca/programs-and-courses/programs/indigenous-studies/,Diploma,norquest-programsearch-api
Insurance Professional,/programs-and-courses/programs/insurance-professional/,https://www.norquest.ca/programs-and-courses/programs/insurance-professional/,Completion certificate,norquest-programsearch-api
Interdisciplinary Therapy Assistant,/programs-and-courses/programs/interdisciplinary-therapy-assistant/,https://www.norquest.ca/programs-and-courses/programs/interdisciplinary-therapy-assistant/,Diploma,norquest-programsearch-api
Introduction to Anti-racism,/programs-and-courses/programs/introduction-to-anti-racism/,https://www.norquest.ca/programs-and-courses/programs/introduction-to-anti-racism/,Digital badge,norquest-programsearch-api
Introduction to Applied Research for Innovation,/programs-and-courses/programs/introduction-to-applied-research-for-innovation/,https://www.norquest.ca/programs-and-courses/programs/introduction-to-applied-research-for-innovation/,Microcredential,norquest-programsearch-api
Introduction to Aviation Operations,/programs-and-courses/programs/introduction-to-aviation-operations/,https://www.norquest.ca/programs-and-courses/programs/introduction-to-aviation-operations/,Microcredential,norquest-programsearch-api
Introduction to Esports,/programs-and-courses/programs/esports/,https://www.norquest.ca/programs-and-courses/programs/esports/,Microcredential,norquest-programsearch-api
Introduction to Inclusion,/programs-and-courses/programs/introduction-to-inclusion/,https://www.norquest.ca/programs-and-courses/programs/introduction-to-inclusion/,Digital badge,norquest-programsearch-api
Introduction to Intercultural Understanding,/programs-and-courses/programs/introduction-to-intercultural-understanding/,https://www.norquest.ca/programs-and-courses/programs/introduction-to-intercultural-understanding/,Digital badge,norquest-programsearch-api
Justice,/programs-and-courses/programs/justice/,https://www.norquest.ca/programs-and-courses/programs/justice/,Diploma,norquest-programsearch-api
Leadership Training Certificate,/programs-and-courses/programs/leadership-training-certificate/,https://www.norquest.ca/programs-and-courses/programs/leadership-training-certificate/,Completion certificate,norquest-programsearch-api
