institution,program_name,credential,admission_type,source_url,notes_uncertain
NAIT,Bachelor of Business Administration (BBA) Co-operative Education,nan,,https://www.nait.ca/nait/schools-programs/jr-shaw-school-of-business/experiential-learning/bachelor-of-business-administration-co-op-educatio,
NAIT,C/C++ Programming Language,nan,,https://www.nait.ca/coned/c-cpp-programming-language,
NAIT,Construction Leadership and Supervision (CLS),Certificate,,https://www.nait.ca/coned/construction-leadership-and-supervision-program,
NAIT,Core Programming,nan,,https://www.nait.ca/coned/core-programming,
NAIT,Digital Marketing,Professional Certificate,,https://www.nait.ca/coned/digital-marketing-program,
NAIT,ICON Student Managed Investment Fund,nan,,https://www.nait.ca/nait/schools-programs/jr-shaw-school-of-business/experiential-learning/icon-student-managed-investment-fund,
NAIT,IGNITE Program,nan,,https://www.nait.ca/nait/student-life/clubs-groups-community/nisohkamatotan-centre/the-prospective-aboriginal-youth-program,
NAIT,National Payroll Institute Designation Programs,PCP and PLP designations,,https://www.nait.ca/coned/national-payroll-institute-program,
NAIT,Nokia Bell Labs 5G Certification,nan,,https://www.nait.ca/nait/corporate-continuing-education/programs/nokia-bell-labs-5g-certification,
NAIT,Open Studies Pathway (School of Health and Life Sciences),nan,,https://www.nait.ca/nait/schools-programs/school-of-health-and-life-sciences/open-studies-pathway,
NAIT,Outreach and Well-being Leaders (OWLs) Program,nan,,https://www.nait.ca/nait/student-life/clubs-groups-community/outreach-and-well-being-leaders-program,
NAIT,Outreach and Well-being Leaders Engagement Team (OWLET),nan,,https://www.nait.ca/nait/student-life/clubs-groups-community/outreach-and-well-being-leaders-program/outreach-and-well-being-leaders-engagement-team,
NAIT,Programmable Logic Controller Level I,Certificate of Achievement,,https://www.nait.ca/coned/programmable-logic-controller,
NAIT,Programmable Logic Controller Level II,Certificate of Achievement,,https://www.nait.ca/coned/programmable-logic-controller-ii,
NAIT,Water and Wastewater Technician,Specialized Certificate,,https://www.nait.ca/coned/water-wastewater-tech-programming-distance,
NorQuest,Academic Upgrading,Course credits,,https://www.norquest.ca/programs-and-courses/programs/academic-upgrading/,
NorQuest,Accounting Technician,Certificate,,https://www.norquest.ca/programs-and-courses/programs/accounting-technician/,
NorQuest,Addictions Recovery Practitioner,Post-diploma certificate,,https://www.norquest.ca/programs-and-courses/programs/addictions-recovery-practitioner/,
NorQuest,Administrative Professional,Certificate,,https://www.norquest.ca/programs-and-courses/programs/administrative-professional/,
NorQuest,Advanced Education in Orthopedics for LPN,Post-diploma certificate,,https://www.norquest.ca/programs-and-courses/programs/advanced-education-in-orthopedics-for-lpn/,
NorQuest,Arts and Sciences Diploma,Diploma,,https://www.norquest.ca/programs-and-courses/programs/arts-and-sciences/,
NorQuest,Autism in the workplace,Digital badge,,https://www.norquest.ca/programs-and-courses/programs/autism-in-the-workplace/,
NorQuest,Autism Studies,Post-diploma certificate,,https://www.norquest.ca/programs-and-courses/programs/autism-studies/,
NorQuest,Behaviour and Regulation Studies,Post-diploma certificate,,https://www.norquest.ca/programs-and-courses/programs/behaviour-and-regulation-studies/,
NorQuest,"Biological, Life, and Health Sciences Specialization",Diploma,,https://www.norquest.ca/programs-and-courses/programs/biological-life-and-health-sciences-specialization/,
NorQuest,Building Service Worker,Completion certificate,,https://www.norquest.ca/programs-and-courses/programs/building-service-worker/,
NorQuest,Business Administration,Diploma,,https://www.norquest.ca/programs-and-courses/programs/business-administration/,
NorQuest,CAEC Readiness,Microcredential,,https://www.norquest.ca/programs-and-courses/programs/caec-readiness/,
NorQuest,Child and Youth Care,Diploma,,https://www.norquest.ca/programs-and-courses/programs/child-and-youth-care/,
NorQuest,Clinical Practice Enhancement for LPNs,Completion certificate,,https://www.norquest.ca/programs-and-courses/programs/clinical-practice-enhancement-for-lpns/,
NorQuest,Community Support Worker,Certificate,,https://www.norquest.ca/programs-and-courses/programs/community-support-worker/,
NorQuest,Content Creator,Certificate,,https://www.norquest.ca/programs-and-courses/programs/content-creator/,
