institution,program_name,credential,source_url,decision,reason_code,rule_source,stage,evidence_notes
MacEwan,Academic Upgrading,,https://calendar.macewan.ca/programs/university-entrance/university-preparation/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Accounting (Major),Bachelor of Commerce,https://calendar.macewan.ca/programs/degree-programs/bcom-accounting/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Accounting Minor,Minor,https://calendar.macewan.ca/programs/min-babs-accounting/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Accounting Minor,Minor,https://calendar.macewan.ca/programs/min-bcom-accounting/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Accounting and Strategic Measurement,Diploma,https://calendar.macewan.ca/programs/certificates-diplomas/accounting-strategic-measurement/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Acupuncture,,https://calendar.macewan.ca/programs/certificates-diplomas/acupuncture/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Alberta Foundation Program (AFP),,https://calendar.macewan.ca/programs/university-entrance/foundation-alberta/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Anthropology (Major/Minor/Honours),Bachelor of Arts,https://calendar.macewan.ca/programs/degree-programs/ba-anthropology/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Anthropology Minor,Minor,https://calendar.macewan.ca/programs/min-bcom-anthropology/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Applied Statistics (Major/Honours),Bachelor of Science,https://calendar.macewan.ca/programs/degree-programs/bsc-applied-statistics/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Arts and Cultural Management,,https://calendar.macewan.ca/programs/min-babs-arts-cultural-management/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Arts and Cultural Management (Major),Bachelor of Fine Arts,https://calendar.macewan.ca/programs/degree-programs/bfa-arts-and-cultural-management/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Asia Pacific Management,Diploma,https://calendar.macewan.ca/programs/certificates-diplomas/asia-pacific-management/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Aviation Management (Major),Business Management Diploma,https://calendar.macewan.ca/programs/certificates-diplomas/aviation-management/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Bachelor of Arts Undeclared,Bachelor of Arts,https://calendar.macewan.ca/programs/degree-programs/ba-undeclared/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Bachelor of Commerce Undeclared,Bachelor of Commerce,https://calendar.macewan.ca/programs/degree-programs/bcom-undeclared/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Bachelor of Physical Education Transfer,,https://calendar.macewan.ca/programs/university-transfer/bpe-physical-education-transfer/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Bachelor of Public Safety and Justice,Bachelor of Public Safety and Justice,https://calendar.macewan.ca/programs/degree-programs/bpsj-public-safety-and-justice/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Bachelor of Science Undeclared,Bachelor of Science,https://calendar.macewan.ca/programs/degree-programs/bsc-undeclared/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Behaviour Analysis,Post-Baccalaureate Certificate,https://calendar.macewan.ca/programs/post-baccalaureate-certificate-programs/behaviour-analysis/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Behavioural Interventions Certificate,Certificate of Achievement,https://calendar.macewan.ca/programs/certificates-achievement/behavioural-intervention/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Biological Sciences,Bachelor of Science,https://calendar.macewan.ca/programs/degree-programs/bsc-biological-sciences/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Bridge to Canadian Nursing,Certificate,https://calendar.macewan.ca/programs/certificates-diplomas/bridge-canadian-nursing/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Business Intelligence Minor,Minor,https://calendar.macewan.ca/programs/min-bcom-business-intelligence/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Business Law Minor,Minor,https://calendar.macewan.ca/programs/min-babs-business-law/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Business Management,Certificate,https://calendar.macewan.ca/programs/certificates-diplomas/business-management-certificate/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Business Management,Diploma,https://calendar.macewan.ca/programs/certificates-diplomas/business-management-diploma/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Business Studies Minor,Minor,https://calendar.macewan.ca/programs/min-babs-business-studies/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Chemistry (Major),Bachelor of Science,https://calendar.macewan.ca/programs/degree-programs/bsc-chemistry/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Child and Youth Care,Bachelor of Child and Youth Care,https://calendar.macewan.ca/programs/degree-programs/bcyc-child-youth-care/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,"Childhood, Youth, and Family Studies Minor",Minor,https://calendar.macewan.ca/programs/degree-programs/childhood-youth-family-studies/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Classics Minor,Minor,https://calendar.macewan.ca/programs/min-babs-classics/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Community Justice and Corrections,Diploma,https://calendar.macewan.ca/programs/certificates-diplomas/community-justice-and-corrections,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Community Justice and Corrections,Diploma,https://calendar.macewan.ca/programs/certificates-diplomas/community-justice-and-corrections/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Composition Major – Bachelor of Music,Bachelor,https://calendar.macewan.ca/programs/degree-programs/bmus-composition/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Computer Science (Major),Bachelor of Science,https://calendar.macewan.ca/programs/degree-programs/bsc-computer-science/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Creative Writing Minor,Minor,https://calendar.macewan.ca/programs/min-babs-creative-writing/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Cybersecurity Studies Minor,Minor,https://calendar.macewan.ca/programs/min-babs-cybersecurity-studies/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Cybersecurity Studies Minor,Minor,https://calendar.macewan.ca/programs/min-bcom-cybersecurity-studies/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Cybersecurity Studies Minor,Minor,https://calendar.macewan.ca/programs/min-bpsj-cybersecurity-studies/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Data Science (Major),Bachelor of Science,https://calendar.macewan.ca/programs/degree-programs/bsc-data-science/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Design,Bachelor of Design,https://calendar.macewan.ca/programs/degree-programs/bdes-design/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Digital Experience Design,Post-Diploma Certificate,https://calendar.macewan.ca/programs/post-diploma-certificate-programs/digital-experience-design/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Digital Experience Design,,https://calendar.macewan.ca/programs/min-babs-digital-experience-design/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Digital Experience Design (Major),Bachelor of Design,https://calendar.macewan.ca/programs/degree-programs/bdes-digital-experience-design/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Digital Experience Design Minor,Minor,https://calendar.macewan.ca/programs/min-bcom-digital-experience-design/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Digital Experience Design Minor,Minor,https://calendar.macewan.ca/programs/min-bcs-digital-experience-design/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Early Childhood Curriculum Studies (BECCS),Bachelor of Early Childhood Curriculum Studies,https://calendar.macewan.ca/programs/degree-programs/beccs-early-childhood-curriculum-studies/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Early Learning and Child Care,,https://calendar.macewan.ca/programs/certificates-diplomas/early-learning-child-care/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Earth and Planetary Sciences Minor,Minor,https://calendar.macewan.ca/programs/min-babs-earth-planetary-sciences/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Economics (Major/Minor/Honours),Bachelor of Arts,https://calendar.macewan.ca/programs/degree-programs/ba-economics/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Economics Minor,Minor,https://calendar.macewan.ca/programs/min-bcom-economics/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Educational Assistant,Certificate,https://calendar.macewan.ca/programs/certificates-diplomas/educational-assistant/,keep,kept_non_target_institution,default_pass_through,index_filter,
MacEwan,Emergency Communications and Response,Certificate,https://calendar.macewan.ca/programs/certificates-diplomas/emergency-communications-response/,keep,kept_non_target_institution,default_pass_through,index_filter,
