program_name,program_url,program_type,faculty,college,campus,language,seed_source,fetched_at_utc
Accounting,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-commerce-accounting.html,General / Major,Business,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Adapted Physical Activity,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-kinesiology-adapted-physical-activity.html,General / Major,"Kinesiology, Sport, and Recreation",,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Agricultural and Resource Economics,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-in-agriculture-agricultural-and-resource-economics.html,General / Major,"Agricultural, Life and Environmental Sciences",,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Agricultural Business Management,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-in-agricultural-agricultural-business-management.html,General / Major,"Agricultural, Life and Environmental Sciences",,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Ancient and Medieval Studies,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-arts-ancient-and-medieval-studies.html,General / Major,Arts,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Animal Science,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-in-agriculture-animal-science.html,General / Major,"Agricultural, Life and Environmental Sciences",,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Anthropology,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-arts-anthropology.html,General / Major,Arts,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Applied Mathematics,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-with-major-applied-mathematics.html,General / Major,Science,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Art,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-education-in-secondary-education-art.html,General / Major,Education,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Art and Design,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-arts-art-and-design.html,General / Major,Arts,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Art and Design,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-fine-arts-in-art-and-design-art-and-design.html,General / Major,Arts,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
